Code;Name;Description;Price;Link;Image;Brand;Categories;ShippingCost;Availability;Vat
00665d5d-65a7-455e-9661-8bb94a64494b;Cartella archivio con lacci - dorso 8 cm - grigio - Euro-cart;Cartella archivio con legacci rivettati. Dimensioni 35x25 cm. Dorso 8 cm.;3.42;https://www.asforniture.it/prodotti/cartella-archivio-con-lacci-dorso-8-cm-grigio-euro-cart--00665d5d-65a7-455e-9661-8bb94a64494b;https://odmultimedia.eu/immagini/HD/73590.jpg;Euro-cart;Archivio > Cartelle archivio con lacci;0.00;1;22
01e7fc03-a705-4233-aaeb-2c5d4d8960f7;Registratore Oxford G85 - dorso 5 cm - protocollo 23 x 33 cm - Verde - Esselte;Registratore Oxford G85 con meccanismo a leva, dorso 8cm, formato protocollo.;5.49;https://www.asforniture.it/prodotti/registratore-oxford-g85-dorso-5-cm-protocollo-23-x-33-cm-verde-esselte--01e7fc03-a705-4233-aaeb-2c5d4d8960f7;https://odmultimedia.eu/immagini/HD/50925.jpg;Astro Forniture;Archivio > Raccoglitori Archivio;0.00;1;22
0404c951-a58a-4a57-aaa3-516a8d46ab26;Matita in grafite Noris - gradazione 2H - Staedtler - conf. 12 pezzi;Matita di alta qualità per scrivere, disegnare e fare schizzi. Gradazione: 2H. Conf. 12 pz.;5.49;https://www.asforniture.it/prodotti/matita-in-grafite-noris-gradazione-2h-staedtler-conf-12-pezzi--0404c951-a58a-4a57-aaa3-516a8d46ab26;https://odmultimedia.eu/immagini/MD/37046.jpg;Staedtler;Cancelleria > Scrittura;0.00;1;22
04b3687d-5f69-4d30-9919-baa8fb87eccd;Buste a sacco Soft - 22 x 30 cm - conf. 25 pz;Buste a sacco in PPL morbido, formato 22x30 cm.;5.12;https://www.asforniture.it/prodotti/buste-a-sacco-soft-22-x-30-cm-conf-25-pz--04b3687d-5f69-4d30-9919-baa8fb87eccd;https://odmultimedia.eu/immagini/HD/25958.jpg;Sei Rota;Archivio > Buste Trasparenti;0.00;1;22
0752cec2-4f0b-4220-b085-fabc05af855e;Scatola progetto Eurobox - dorso 8 cm - giallo;Scatola progetto Esselte in cartone robusto;7.56;https://www.asforniture.it/prodotti/scatola-progetto-eurobox-dorso-8-cm-giallo--0752cec2-4f0b-4220-b085-fabc05af855e;https://odmultimedia.eu/immagini/HD/48350.jpg;Esselte;Archivio > Scatole Archivio;0.00;1;22
079cc737-bebb-4e8c-b5ce-b5621c1cfc63;Scatola progetto Eurobox - dorso 15 cm - blu;Scatola progetto Esselte in cartone robusto;8.17;https://www.asforniture.it/prodotti/scatola-progetto-eurobox-dorso-15-cm-blu--079cc737-bebb-4e8c-b5ce-b5621c1cfc63;https://odmultimedia.eu/immagini/HD/48357.jpg;Esselte;Archivio > Scatole Archivio;0.00;1;22
08823da2-9c4c-446e-8dc5-e8c836540298;Fermagli zincati - n. 1 - 2 cm - Leone - conf. 100 pezzi;Fermagli metallici zincati Leone n. 1. Lunghezza 20mm. Confezione da 100 pezzi.;0.73;https://www.asforniture.it/prodotti/fermagli-zincati-n-1-2-cm-leone-conf-100-pezzi--08823da2-9c4c-446e-8dc5-e8c836540298;https://odmultimedia.eu/immagini/MD/49756.jpg;Leone;Cancelleria > Accessori Scrivania;0.00;1;22
0bb03389-f8e0-4c7e-ab3a-906f65f7d42f;Pennarello Stabilo OHPen 841 - punta superfine 0.4 mm - rosso;Pennarello universale permanente per quasi tutte le superfici lisce;1.83;https://www.asforniture.it/prodotti/pennarello-stabilo-ohpen-841-punta-superfine-0-4-mm-rosso--0bb03389-f8e0-4c7e-ab3a-906f65f7d42f;https://odmultimedia.eu/immagini/MD/27705.jpg;Stabilo;Cancelleria;0.00;1;22
0ebb8943-6be7-417a-b9bf-456e3432b497;Cartella archivio con lacci - dorso 15 cm - grigio - Euro-cart;Cartella archivio con legacci rivettati. Dimensioni 35x25 cm. Dorso 15 cm.;3.42;https://www.asforniture.it/prodotti/cartella-archivio-con-lacci-dorso-15-cm-grigio-euro-cart--0ebb8943-6be7-417a-b9bf-456e3432b497;https://odmultimedia.eu/immagini/HD/73590.jpg;Euro-cart;Archivio > Cartelle archivio con lacci;0.00;1;22
0eccbec2-f2a6-42d6-9aae-bc2addd2537a;Evidenziatore Tratto Video - verde;Evidenziatore con punta a scalpello, tratto 1.0-5.0mm. Ideale per carta, fax e fotocopie.;1.10;https://www.asforniture.it/prodotti/evidenziatore-tratto-video-verde--0eccbec2-f2a6-42d6-9aae-bc2addd2537a;https://odmultimedia.eu/immagini/MD/73535.jpg;Tratto;Cancelleria;0.00;1;22
