category,subcategory,sku,ean,brand,name,format,description
Modulistica,Alberghi e Ristoranti,E 5916,8023328591601,Edipro,"Blocco comande - 25x3 fogli autoricalcanti - 17 x 9,9 cm - Edipro","17 x 9,9 cm","Blocco comande Edipro a 25×3 fogli autoricalcanti, formato 17 × 9,9 cm. Ideale per alberghi e ristoranti."
Modulistica,Alberghi e Ristoranti,E 5913,8023328591304,Edipro,"Blocco comande - 2 copie autoricalcanti - 17 x 9,9 cm - Edipro","17 x 9,9 cm","Blocco comande Edipro a 2 copie autoricalcanti, formato 17 × 9,9 cm."
Modulistica,"Condominio, Edilizia e Registri",E 5504 C,8023328550417,Edipro,"Blocco ricevuta d’affitto 50×2 autoricalcante – Formato 9,9×17","9,9 x 17 cm","Blocco ricevuta d’affitto Edipro 50×2 autoricalcante, formato 9,9 × 17 cm. Per condominio e edilizia."
Modulistica,"Condominio, Edilizia e Registri",E 2529,,Edipro,"Verbale assemblea condominio 96 pagine – Formato 31×24,5","31 x 24,5 cm","Verbale assemblea di condominio Edipro, 96 pagine, formato 31 × 24,5 cm."
Modulistica,"Condominio, Edilizia e Registri",E 5563 C,8023328556310,Edipro,"Blocco ricevuta generica 50×2 autoricalcante – Formato 9,9×17","9,9 x 17 cm","Blocco ricevuta generica Edipro 50×2 autoricalcante, formato 9,9 × 17 cm."
Modulistica,"Condominio, Edilizia e Registri",E 2104 A,8023328210410,Edipro,"Registro prima nota IVA corrispettivi 13×2 (1 anno) autoricalcante – Formato 29,7×23","29,7 x 23 cm","Registro prima nota IVA corrispettivi Edipro 13×2 (1 anno) autoricalcante, formato 29,7 × 23 cm."
Modulistica,"Condominio, Edilizia e Registri",E 2102 A,8023328210212,Edipro,"Registro prima nota IVA corrispettivi 25×2 (2 anni) autoricalcante – Formato 29,7×23","29,7 x 23 cm","Registro prima nota IVA corrispettivi Edipro 25×2 (2 anni) autoricalcante, formato 29,7 × 23 cm."
Modulistica,"Condominio, Edilizia e Registri",E 2108,,Edipro,"Registro dei corrispettivi per mancato o irregolare funzionamento registratori di cassa – Formato 31×24,5","31 x 24,5 cm","Registro dei corrispettivi Edipro per mancato o irregolare funzionamento dei registratori di cassa, formato 31 × 24,5 cm."
Modulistica,"Contabilità, Cassa e Fatture",E 5349,8023328534905,Edipro,"Blocco prima nota cassa 100 fogli uso mano – Formato 14,8×22","14,8 x 22 cm","Blocco prima nota cassa Edipro 100 fogli uso mano, formato 14,8 × 22 cm."
Modulistica,"Contabilità, Cassa e Fatture",E 5349 A,8023328534912,Edipro,"Blocco prima nota cassa 50×2 autoricalcante – Formato 14,8×22","14,8 x 22 cm","Blocco prima nota cassa Edipro 50×2 autoricalcante, formato 14,8 × 22 cm."
